itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,topRatedBuyingExperience,priorityListing,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year,additional_image_count,title_length,discount_flag,condition_desc,top_club,top_country,Messi
v1|286693441114|0,Official Adidas River plate 2025/26 Jersey Away,1000,New,45.0,USD,mvjshop,100.0,4,US,False,False,,,0.0,13,2887,Soccer-International Clubs,1,,,2026.0,6,47,False,1000 - New,False,False,False
v1|256603061849|556863395697,Germany Ozil JERSEY 2018 WORLD CUP Size L AND XL,1000,New,52.99,USD,adi841,98.2,431,US,False,False,,,0.0,340,2891,Soccer-National Teams,4,,Germany,2018.0,5,48,False,1000 - New,False,True,False
v1|335827185864|545368145773,Monterrey Away Jersey Soccer Retro in 1999-2000,1000,New,28.98,USD,lodrev_0,99.4,170,NZ,False,False,,,7.0,147,2887,Soccer-International Clubs,6,,,2000.0,1,47,False,1000 - New,False,False,False
v1|316054790472|614650323217,Portugal 2015-2016 Home Long-Sleeve Jersey - Cristiano Ronaldo #7,1000,New with tags,69.99,USD,ahsal-1916,94.7,17,NL,False,False,,,0.0,216,123490,Men,2,,,2016.0,5,65,False,1000 - New with tags,False,False,False
v1|405900708386|676206488501,Cruz Azul 25-26 Fan Version,3000,Used,44.99,USD,shopping-hunter.3,97.0,63,US,False,False,,,0.0,55,2887,Soccer-International Clubs,10,,,2026.0,4,27,False,3000 - Used,False,False,False
v1|387580207847|0,NWT Manchester United 22/23 Third Adidas Authentic Soccer Football Jersey Men XL,1000,New,65.72,USD,mosdeportes,99.4,277,CA,False,False,,,10.96,258,2887,Soccer-International Clubs,1,Manchester United,,2023.0,9,80,False,1000 - New,True,False,False
v1|156833397345|458248678717,2024/25 Argentina Pre-Match Jersey adidas 3 Star World Cup Champions [IW5363],1000,New,69.99,USD,raresoccerjersey,99.8,4066,US,True,False,,,9.99,116,2891,Soccer-National Teams,3,,Argentina,2025.0,8,77,False,1000 - New,False,True,False
v1|127229171880|0,TURKEY NATIONAL TEAM 2018-19 AWAY SHIRT NIKE JERSEY SOCCER SIZE M,3000,Used,39.99,USD,rich.rob94,98.8,78,US,False,False,,,0.0,8,2891,Soccer-National Teams,1,,,2019.0,7,65,False,3000 - Used,False,False,False
v1|285822935785|587848398171,JERSEY Napoli Special Edition White White 2024,1000,New,28.98,USD,jusus.uhwoyehz2,96.3,1561,CA,False,False,,,7.0,456,2887,Soccer-International Clubs,5,,,2024.0,1,46,False,1000 - New,False,False,False
v1|196354156132|496173732215,Paraguay national team Home 2024-25 Jersey,1000,New with tags,28.99,USD,zijl.nic,99.1,1158,NZ,False,False,,,7.0,457,123490,Men,6,,,2025.0,1,42,False,1000 - New with tags,False,False,False
v1|267226698543|567005841044,JERSEY Men Kyoto Sanga FC Home 2025,1000,New,28.99,USD,am_kenda,98.9,1031,NZ,False,False,,,6.8,91,2887,Soccer-International Clubs,4,,,2025.0,1,35,False,1000 - New,False,False,False
v1|357242709387|625976542037,Ronaldinho #80 AC Milan UCL Home R10 Retro Jersey,1000,New,61.97,USD,danf_7171,100.0,31,US,False,False,,,7.15,13,2887,Soccer-International Clubs,8,,,,4,49,False,1000 - New,False,False,False
v1|317060915587|615512460851,CLUB AMERICA ENTRENAMIENTO 25/26  (Talla Reducida) slim fit,1000,New with tags,19.0,USD,juane.m_0,99.4,1367,US,False,False,,,0.0,148,123490,Men,4,Club America,,2026.0,6,59,False,1000 - New with tags,True,False,False
v1|116287605819|416525129451,JERSEY ARMENIA NATIONAL Soccer Third 2024-25,1000,New,28.98,USD,herbe.ander,99.4,830,NZ,False,False,,,7.0,342,2887,Soccer-International Clubs,7,,,2025.0,1,44,False,1000 - New,False,False,False
v1|256725644693|557128540370,Club america one piece baby Soccer Jersey multicolor futbol jumpsuit Bebe,1500,New without tags,15.75,USD,rendonjr_88,100.0,1001,US,False,False,,,4.5,240,123490,Men,2,Club America,,,1,73,False,1500 - New without tags,True,False,False
v1|336018337141|545559859599,JERSEY Fluminense 2025 Soccer Away Mens,1000,New,28.98,USD,lodrev_0,99.4,170,NZ,False,False,,,7.0,34,2887,Soccer-International Clubs,6,,,2025.0,1,39,False,1000 - New,False,False,False
