itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year_single
v1|405807988376|676115419023,Manchester United 2007–08 Away Long Sleeve Jersey – Cristiano Ronaldo #7,1000,New,74.99,USD,grk_04,97.7,127,DE,,,0.0,78,2887,Soccer-International Clubs,10,Manchester United,,2007.0
v1|277213989357|0,**Adidas Mexico Authentic Home Jersey Size 3XL 2022 HD6898 Green,,Unspecified,72.00,USD,aarocastr71,98.6,1053,US,,0,8.0,25,2891,Soccer-National Teams,2,,Mexico,2022.0
v1|186608611775|694640355945,Adidas Estro 12 Short Sleeve Mens Jerseys-White/Black,1000,New with tags,11.00,USD,monkeysportsinc,99.5,6210,US,,,0.0,343,123490,Men,1,,,
v1|396850887858|0,Puma Gabon Home Yellow Soccer Jersey Shirt 2015 BNWT 100% Authentic,1000,New,59.00,USD,cdswatch,100.0,4094,US,,,0.0,0,2891,Soccer-National Teams,3,,,2015.0
v1|376390940603|645027765355,Mexico 2025/26 Black Special Souvenir Player Version Jersey US,1000,New,34.99,USD,ahsanl_64,98.1,50,BD,,,2.99,4,2891,Soccer-National Teams,1,,Mexico,2025.0
v1|236193862339|0,Nike Men's England 2022/23 Home Soccer Jersey Size: XXL DN0687-101 NWT,1000,New,44.99,USD,athleisure-aura,100.0,374,US,,,,1,2891,Soccer-National Teams,1,,England,2022.0
v1|136133704804|0,FC Bayern Munich 1997/99 Matthaus #10 Retro Vintage Soccer Football Jersey XXL,1000,New,86.57,USD,worldsoccerjerseys,99.4,247,US,,,,174,2887,Soccer-International Clubs,13,Bayern Munich,,
v1|376367209395|645012139991,JERSEY Pachuca Away Mens Soccer 2025,1000,New,28.98,USD,pete-7785,100.0,14,NZ,,,7.0,15,2887,Soccer-International Clubs,8,,,2025.0
v1|356842159832|625781797299,Peru Men's 2018 Umbro Red/White Replica Soccer Jersey,1000,New,85.00,USD,fetch2021,100.0,454,US,,,,73,2891,Soccer-National Teams,2,,,2018.0
v1|177235207507|0,2022 Nike United States Away Vapor Authentic Soccer Jersey Men’s XXL #DN0705-452,1000,New,49.95,USD,aogibson3274,99.3,1833,US,,,5.0,11,2891,Soccer-National Teams,1,,,2022.0
v1|316796126234|0,Adidas Real Madrid 24/25 Away Soccer Jersey Men's Size XL New IU5013,1000,New,62.00,USD,archivedgems,99.1,269,US,,,,60,2887,Soccer-International Clubs,1,Real Madrid,,2025.0
v1|256950128204|557551665678,USA national team Home 2010 Soccer Retro Mens,1000,New,28.98,USD,panne-jenni,99.1,860,NZ,,,7.0,45,2887,Soccer-International Clubs,9,,USA,2010.0
v1|316989780429|0,Mexico 2020-2021 Adidas Large NWT Football National Team Home Pink Jersey,1000,New,54.34,USD,migueorti712,98.7,251,US,,,,27,2891,Soccer-National Teams,1,,Mexico,2021.0
v1|225905308199|524995000510,New Napoli Maradona Soccer Jersey Retro All sizes available GOAT Kids and Adults,1000,New,39.99,USD,carlo_renato,100.0,1728,US,,,0.0,781,2891,Soccer-National Teams,9,,,
v1|405867443243|676170257201,Kaka #22 -AC Milan 06-07 Away Vintage Short Sleeve Jersey,1000,New,70.99,USD,grk_04,97.7,127,DE,,,0.0,58,2887,Soccer-International Clubs,10,,,2007.0
v1|286529398655|0,ronaldo kids soccer jersey - Portugal white jersey 24/25,3000,Used,29.99,USD,elma470,100.0,10,US,,,4.84,74,2891,Soccer-National Teams,2,,,2025.0
v1|146696601403|0,Eric Wynalda USA USMNT Soccer Jersey New Fast Ship XXL Adult 2XL,1000,New,55.00,USD,midwest_express_365,98.1,2727,US,,,0.0,4,2891,Soccer-National Teams,3,,USA,
v1|256537849291|556770974392,JERSEY Mexico 1999 Away soccer,1000,New,29.99,USD,panne-jenni,99.1,860,NZ,,,7.0,399,2887,Soccer-International Clubs,9,,Mexico,
